Feature,Importance,占比
Lot,1529.2996826171875,0.8898090520619555
Line代码,100.60498809814453,0.058536093422261334
Model,40.63119888305664,0.023640891954153004
Line,10.83423137664795,0.006303798569144266
model2,9.527429580688477,0.005543447880189973
PN,8.787848472595215,0.005113129367608338
品类,7.096510887145996,0.004129040041800214
品名,6.11114501953125,0.0035557139118320303
供应商,5.7899556159973145,0.0033688327910553796
